post_id,user_post,cluster,cluster_1_membership,cluster_2_membership,cluster_3_membership,cluster_4_membership,cluster_5_membership,cluster_label
1,Parks and Recreation Bike-sharing programs have seen increased participation.,0,0.20000003659498014,0.200000017828759,0.19999996904155973,0.19999997824445606,0.199999998290245,Parks and Recreation
2,Parks and Recreation Wind turbines have been set up in designated zones.,0,0.200000018347623,0.19999999180248884,0.19999999894607326,0.20000000868286832,0.19999998222094661,Parks and Recreation
3,Cycling Infrastructure Cycling workshops are being offered to promote bike safety.,1,0.1999999855676458,0.2000000373532302,0.19999997009215412,0.2000000194344084,0.19999998755256154,Traffic and Pollution
4,Public Transport and Safety Families appreciate the upgraded playground equipment.,3,0.19999998475543865,0.20000001027512776,0.19999999081086392,0.2000000237836938,0.19999999037487587,Cycling Infrastructure
5,Cycling Infrastructure Safety measures in public areas have been enhanced.,1,0.19999993904682906,0.20000007687155785,0.19999997617337256,0.20000000586395064,0.20000000204428992,Traffic and Pollution
6,Green Energy and Sustainability Public transport expansions will reduce commute times.,3,0.1999999875878394,0.200000018507687,0.19999998793424673,0.20000002526548827,0.19999998070473862,Cycling Infrastructure
7,Parks and Recreation New bike lanes have been installed along major roads.,0,0.20000004645011552,0.19999998915069578,0.20000000162940657,0.19999994173834326,0.20000002103143885,Parks and Recreation
8,Cycling Infrastructure Safety measures in public areas have been enhanced.,1,0.19999993904682906,0.20000007687155785,0.19999997617337256,0.20000000586395064,0.20000000204428992,Traffic and Pollution
9,Parks and Recreation Public transport expansions will reduce commute times.,1,0.19999998411983816,0.20000002127957073,0.19999998874839292,0.2000000137955762,0.1999999920566219,Traffic and Pollution
10,Parks and Recreation Maintenance has improved the overall cleanliness and safety.,1,0.19999997318897375,0.20000004151945652,0.19999994681658426,0.20000003992669496,0.19999999854829054,Traffic and Pollution
11,Green Energy and Sustainability Maintenance has improved the overall cleanliness and safety.,3,0.19999997675262662,0.20000003908843908,0.19999994475142915,0.2000000540707614,0.19999998533674376,Cycling Infrastructure
12,Public Transport and Safety New bike lanes have been installed along major roads.,0,0.20000002757708657,0.20000001466818373,0.199999986997177,0.19999995751094382,0.20000001324660893,Parks and Recreation
13,Parks and Recreation Sustainability workshops are educating the community on green practices.,3,0.200000006219259,0.2000000061520234,0.19999999724143067,0.20000002296119918,0.19999996742608778,Cycling Infrastructure
14,Green Energy and Sustainability Bike-sharing programs have seen increased participation.,0,0.20000004010742672,0.20000001469083978,0.19999996842088621,0.19999999047603564,0.1999999863048116,Parks and Recreation
15,Parks and Recreation Public transport expansions will reduce commute times.,1,0.19999998411983816,0.20000002127957073,0.19999998874839292,0.2000000137955762,0.1999999920566219,Traffic and Pollution
16,Parks and Recreation Safety measures in public areas have been enhanced.,1,0.19999994477129368,0.20000007061714975,0.1999999803295544,0.19999999952374167,0.20000000475826046,Traffic and Pollution
17,Green Energy and Sustainability New bus routes are being planned to cover underserved areas.,4,0.19999999753041278,0.199999997776448,0.20000006543357693,0.19999986947503315,0.20000006978452914,Green Energy and Sustainability
18,Public Transport and Safety Maintenance has improved the overall cleanliness and safety.,1,0.1999999544184679,0.20000006613927843,0.19999993386305376,0.20000005407799135,0.19999999150120865,Traffic and Pollution
19,Cycling Infrastructure Safety measures in public areas have been enhanced.,1,0.19999993904682906,0.20000007687155785,0.19999997617337256,0.20000000586395064,0.20000000204428992,Traffic and Pollution
